epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.1507,1.13577,4.28631,1.45339,0.55984,0.16689,0.11994,0.09854,0.88026,4.18055,1.31036,5.5e-05,5.5e-05,5.5e-05
2,25.4727,1.00513,2.90182,1.35616,0.50405,0.25074,0.23885,0.19525,0.83236,2.83525,1.26992,0.000111386,0.000111386,0.000111386
3,37.3039,0.90708,2.20998,1.27281,0.46143,0.33809,0.29927,0.24704,0.82212,2.43271,1.24758,0.000166634,0.000166634,0.000166634
4,49.3333,0.914,1.9502,1.26774,0.50611,0.37976,0.35007,0.28788,0.87822,2.10003,1.28986,0.000220743,0.000220743,0.000220743
5,60.6663,0.87269,1.78923,1.24159,0.6856,0.31315,0.38032,0.30096,0.86496,1.99679,1.31788,0.0002401,0.0002401,0.0002401
6,72.6191,0.8404,1.54741,1.20137,0.58548,0.34592,0.38861,0.31296,0.83836,1.90658,1.2653,0.000237625,0.000237625,0.000237625
7,88.3474,0.84396,1.41994,1.21016,0.57526,0.3901,0.40721,0.33358,0.85724,1.96502,1.28291,0.00023515,0.00023515,0.00023515
8,102.698,0.78122,1.3159,1.17707,0.68124,0.34699,0.4403,0.35474,0.8851,1.84536,1.34159,0.000232675,0.000232675,0.000232675
9,114.8,0.80935,1.27011,1.19248,0.52055,0.51535,0.51312,0.39541,0.83621,1.7848,1.27824,0.0002302,0.0002302,0.0002302
10,127.606,0.80589,1.20156,1.18312,0.60357,0.38808,0.50562,0.38823,0.88225,1.85854,1.31026,0.000227725,0.000227725,0.000227725
11,143.887,0.76845,1.11519,1.15654,0.66611,0.46168,0.53093,0.4064,0.87794,1.79036,1.33434,0.00022525,0.00022525,0.00022525
12,158.236,0.7655,1.11426,1.14612,0.63819,0.47205,0.55544,0.42133,0.83755,1.64336,1.26882,0.000222775,0.000222775,0.000222775
13,170.263,0.72364,1.01363,1.13285,0.66324,0.46525,0.55475,0.44268,0.8112,1.6166,1.23958,0.0002203,0.0002203,0.0002203
14,182.035,0.70208,0.95734,1.10454,0.6787,0.43621,0.49501,0.39049,0.84949,1.75829,1.30246,0.000217825,0.000217825,0.000217825
15,194.232,0.70789,0.88632,1.11929,0.64565,0.5051,0.52196,0.41628,0.85553,1.71115,1.3003,0.00021535,0.00021535,0.00021535
16,206.167,0.68016,0.89164,1.10097,0.59518,0.557,0.56099,0.44065,0.84244,1.6702,1.29554,0.000212875,0.000212875,0.000212875
17,217.785,0.67734,0.82583,1.08465,0.62498,0.58092,0.58889,0.47361,0.81067,1.55705,1.27585,0.0002104,0.0002104,0.0002104
18,229.584,0.6709,0.79916,1.07816,0.70773,0.4568,0.54301,0.43817,0.83064,1.66873,1.28546,0.000207925,0.000207925,0.000207925
19,241.237,0.67639,0.78421,1.09863,0.57361,0.51533,0.53393,0.43119,0.83863,1.63885,1.29213,0.00020545,0.00020545,0.00020545
20,253.298,0.64442,0.75306,1.06021,0.77527,0.46187,0.56126,0.43864,0.84967,1.6172,1.29367,0.000202975,0.000202975,0.000202975
21,265.322,0.63341,0.72867,1.06697,0.65073,0.50963,0.55803,0.43937,0.83221,1.62393,1.30229,0.0002005,0.0002005,0.0002005
22,276.78,0.65018,0.72063,1.07713,0.60631,0.58625,0.58116,0.46585,0.82641,1.56511,1.29215,0.000198025,0.000198025,0.000198025
23,291.174,0.61809,0.66332,1.0424,0.65472,0.50774,0.5772,0.47117,0.78889,1.63822,1.25053,0.00019555,0.00019555,0.00019555
24,304.521,0.64476,0.69727,1.06974,0.66323,0.53045,0.58123,0.45045,0.84077,1.62808,1.29381,0.000193075,0.000193075,0.000193075
25,316.042,0.6236,0.65752,1.04784,0.595,0.53343,0.5513,0.43562,0.83587,1.6829,1.27594,0.0001906,0.0001906,0.0001906
26,327.422,0.59277,0.64208,1.036,0.67148,0.50438,0.56955,0.45718,0.84114,1.56749,1.30388,0.000188125,0.000188125,0.000188125
27,339.369,0.59827,0.63415,1.05565,0.63441,0.57349,0.56099,0.45414,0.82914,1.70394,1.28093,0.00018565,0.00018565,0.00018565
28,351.145,0.56926,0.60074,1.0267,0.69449,0.48621,0.59092,0.47141,0.81791,1.62448,1.27512,0.000183175,0.000183175,0.000183175
29,362.545,0.58002,0.6115,1.03305,0.6249,0.50001,0.54747,0.44048,0.85092,1.68272,1.31402,0.0001807,0.0001807,0.0001807
30,375.48,0.5723,0.57679,1.02364,0.66327,0.50934,0.54313,0.44571,0.85008,1.68238,1.29932,0.000178225,0.000178225,0.000178225
31,390.505,0.58336,0.59939,1.0325,0.67919,0.47305,0.5485,0.44233,0.82271,1.72534,1.27198,0.00017575,0.00017575,0.00017575
32,402.114,0.58383,0.5809,1.03205,0.64738,0.47054,0.54183,0.44241,0.78153,1.64761,1.25493,0.000173275,0.000173275,0.000173275
