epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,208.776,0.50512,0.48158,0.96169,0.62431,0.38501,0.44333,0.35802,1.19239,1.89531,1.52019,0.000148525,0.000148525,0.000148525
43,213.282,0.5301,0.49055,0.98154,0.58455,0.41853,0.44172,0.36081,1.15861,1.84847,1.49704,0.00014605,0.00014605,0.00014605
44,217.838,0.49506,0.45353,0.95042,0.71016,0.3645,0.47386,0.3962,1.15064,1.60854,1.49538,0.000143575,0.000143575,0.000143575
45,222.36,0.49331,0.4482,0.94551,0.71995,0.36703,0.45457,0.3749,1.11268,1.57609,1.48125,0.0001411,0.0001411,0.0001411
46,226.822,0.50463,0.45791,0.97215,0.60548,0.44491,0.46502,0.37974,1.1216,1.56739,1.47563,0.000138625,0.000138625,0.000138625
47,231.351,0.46854,0.41983,0.92149,0.56822,0.47404,0.47283,0.39091,1.13003,1.63576,1.46991,0.00013615,0.00013615,0.00013615
48,235.876,0.486,0.4488,0.93876,0.52068,0.46683,0.46577,0.3803,1.14237,1.69581,1.46116,0.000133675,0.000133675,0.000133675
49,240.343,0.4567,0.40874,0.93218,0.49112,0.48734,0.45601,0.37283,1.14071,1.74237,1.45456,0.0001312,0.0001312,0.0001312
50,244.831,0.47645,0.43802,0.9436,0.68741,0.36622,0.45464,0.37351,1.14431,1.7223,1.45401,0.000128725,0.000128725,0.000128725
51,249.432,0.45622,0.41253,0.9212,0.55197,0.46163,0.46799,0.37746,1.14896,1.68801,1.47156,0.00012625,0.00012625,0.00012625
52,253.952,0.45731,0.42813,0.93749,0.63946,0.39415,0.45042,0.37478,1.11119,1.67769,1.42802,0.000123775,0.000123775,0.000123775
53,258.452,0.48335,0.43496,0.96158,0.60118,0.40952,0.43976,0.37123,1.07956,1.63702,1.40316,0.0001213,0.0001213,0.0001213
54,263.954,0.4503,0.41809,0.92823,0.64288,0.39272,0.45035,0.37865,1.08291,1.67705,1.40791,0.000118825,0.000118825,0.000118825
55,269.032,0.45085,0.40832,0.92645,0.58824,0.41943,0.45334,0.3816,1.09022,1.69696,1.43207,0.00011635,0.00011635,0.00011635
56,276.671,0.4601,0.40915,0.94075,0.69039,0.42475,0.46513,0.3895,1.08537,1.67344,1.44306,0.000113875,0.000113875,0.000113875
57,281.193,0.45649,0.39735,0.92815,0.72242,0.41789,0.48454,0.40788,1.09132,1.64916,1.44019,0.0001114,0.0001114,0.0001114
58,285.77,0.4305,0.38494,0.91653,0.70986,0.41504,0.48215,0.41181,1.0684,1.71469,1.42784,0.000108925,0.000108925,0.000108925
59,290.337,0.44655,0.3839,0.92073,0.68884,0.41344,0.47165,0.4005,1.08806,1.71603,1.44432,0.00010645,0.00010645,0.00010645
60,294.828,0.43143,0.36719,0.92312,0.75298,0.38604,0.4587,0.38937,1.1149,1.67194,1.45768,0.000103975,0.000103975,0.000103975
61,299.292,0.44903,0.40067,0.9427,0.73548,0.38372,0.46399,0.39256,1.12865,1.66002,1.47454,0.0001015,0.0001015,0.0001015
62,304.238,0.42067,0.36906,0.91371,0.75084,0.38376,0.47735,0.40289,1.12016,1.65785,1.47756,9.9025e-05,9.9025e-05,9.9025e-05
63,309.714,0.42176,0.3743,0.91573,0.64972,0.44653,0.48617,0.40712,1.13439,1.69113,1.48604,9.655e-05,9.655e-05,9.655e-05
64,316.382,0.41105,0.354,0.911,0.61278,0.41439,0.46619,0.39185,1.09714,1.70963,1.43665,9.4075e-05,9.4075e-05,9.4075e-05
65,321.683,0.41342,0.3685,0.91247,0.62366,0.3897,0.45314,0.38093,1.08972,1.67213,1.41896,9.16e-05,9.16e-05,9.16e-05
66,326.874,0.40912,0.36979,0.90619,0.59667,0.41971,0.45376,0.38464,1.09552,1.58403,1.42146,8.9125e-05,8.9125e-05,8.9125e-05
67,331.954,0.42653,0.38268,0.93398,0.5912,0.44828,0.45288,0.37939,1.08387,1.56506,1.40503,8.665e-05,8.665e-05,8.665e-05
68,337.057,0.39408,0.35091,0.90067,0.60141,0.42463,0.44927,0.37296,1.08896,1.65973,1.41548,8.4175e-05,8.4175e-05,8.4175e-05
69,342.153,0.42607,0.36779,0.92366,0.61345,0.41303,0.44916,0.37551,1.11179,1.71538,1.45365,8.17e-05,8.17e-05,8.17e-05
70,347.27,0.4034,0.34163,0.90891,0.64848,0.3988,0.45779,0.37832,1.11234,1.7486,1.45686,7.9225e-05,7.9225e-05,7.9225e-05
71,352.394,0.4012,0.34961,0.90754,0.61905,0.40366,0.45456,0.37823,1.10985,1.76397,1.46862,7.675e-05,7.675e-05,7.675e-05
72,357.502,0.40232,0.35334,0.92268,0.48169,0.4611,0.46315,0.38763,1.1202,1.72319,1.46999,7.4275e-05,7.4275e-05,7.4275e-05
73,362.159,0.39012,0.34582,0.90427,0.50399,0.46613,0.46677,0.39079,1.12942,1.70351,1.46896,7.18e-05,7.18e-05,7.18e-05
