epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.9042,1.15202,4.26156,1.47277,0.72702,0.11982,0.10558,0.0892,0.92691,3.86203,1.30538,5.5e-05,5.5e-05,5.5e-05
2,24.886,0.96897,2.86629,1.35623,0.52067,0.21841,0.21504,0.17273,0.8696,2.57639,1.27028,0.000111386,0.000111386,0.000111386
3,36.4727,0.91426,2.26527,1.28485,0.53021,0.28487,0.28926,0.23485,0.86418,2.54164,1.26372,0.000166634,0.000166634,0.000166634
4,47.8685,0.89175,1.94845,1.27215,0.51078,0.32349,0.31583,0.25501,0.91289,2.43312,1.31172,0.000220743,0.000220743,0.000220743
5,58.8038,0.87381,1.74031,1.24354,0.5375,0.33014,0.33712,0.27488,0.90369,2.2028,1.33406,0.0002401,0.0002401,0.0002401
6,70.0137,0.85185,1.60892,1.22624,0.61103,0.35921,0.40127,0.3159,0.92096,1.95364,1.34162,0.000237625,0.000237625,0.000237625
7,81.3535,0.80344,1.45305,1.20382,0.70395,0.35213,0.41878,0.34119,0.922,1.93675,1.33243,0.00023515,0.00023515,0.00023515
8,92.5973,0.81794,1.35765,1.20803,0.65577,0.41575,0.44409,0.35405,0.87614,1.82233,1.28685,0.000232675,0.000232675,0.000232675
9,103.446,0.80989,1.32213,1.209,0.67414,0.42423,0.46014,0.37797,0.88547,1.73778,1.28636,0.0002302,0.0002302,0.0002302
10,114.756,0.77572,1.17371,1.17605,0.59228,0.42334,0.43556,0.34715,0.90232,1.76812,1.30942,0.000227725,0.000227725,0.000227725
11,126.258,0.77807,1.14184,1.17272,0.7088,0.38015,0.40495,0.32091,0.96398,2.16964,1.40355,0.00022525,0.00022525,0.00022525
12,138.224,0.74442,1.06224,1.15477,0.70493,0.37056,0.43027,0.34537,0.94095,1.91599,1.35533,0.000222775,0.000222775,0.000222775
13,149.856,0.74819,1.05608,1.15945,0.7266,0.38514,0.46101,0.37797,0.8875,1.82096,1.28844,0.0002203,0.0002203,0.0002203
14,160.554,0.70798,0.96198,1.11735,0.61457,0.40653,0.46225,0.36643,0.90945,1.7628,1.29592,0.000217825,0.000217825,0.000217825
15,171.182,0.70282,0.93406,1.12711,0.6667,0.44386,0.48059,0.38888,0.93548,1.69145,1.32157,0.00021535,0.00021535,0.00021535
16,181.883,0.69664,0.89797,1.11605,0.71732,0.45798,0.50258,0.412,0.87185,1.6754,1.26603,0.000212875,0.000212875,0.000212875
17,192.546,0.67242,0.87788,1.0928,0.60663,0.45853,0.52106,0.43228,0.86108,1.68326,1.27467,0.0002104,0.0002104,0.0002104
18,203.254,0.65829,0.84471,1.10053,0.6232,0.47195,0.51778,0.42242,0.90008,1.61342,1.31511,0.000207925,0.000207925,0.000207925
19,214.05,0.67321,0.84025,1.0955,0.61071,0.46687,0.49389,0.41711,0.85935,1.58999,1.27049,0.00020545,0.00020545,0.00020545
20,224.809,0.6403,0.74885,1.06671,0.71781,0.45546,0.5045,0.42274,0.86653,1.58453,1.28976,0.000202975,0.000202975,0.000202975
21,235.391,0.66456,0.78524,1.09858,0.73218,0.40243,0.48589,0.39895,0.87132,1.6451,1.283,0.0002005,0.0002005,0.0002005
22,246.143,0.65959,0.73783,1.08914,0.67431,0.45212,0.49548,0.40345,0.88936,1.63409,1.29739,0.000198025,0.000198025,0.000198025
23,256.867,0.62528,0.69663,1.06931,0.70737,0.43634,0.49792,0.40796,0.91426,1.73332,1.32013,0.00019555,0.00019555,0.00019555
24,267.648,0.61453,0.69451,1.05237,0.62502,0.51203,0.51528,0.42281,0.86172,1.58739,1.29534,0.000193075,0.000193075,0.000193075
25,278.719,0.60529,0.67828,1.05066,0.60333,0.50056,0.52255,0.42967,0.89562,1.70234,1.32087,0.0001906,0.0001906,0.0001906
26,291.892,0.60511,0.69759,1.05657,0.69747,0.41815,0.50303,0.41023,0.87638,1.59518,1.29151,0.000188125,0.000188125,0.000188125
27,304.888,0.59095,0.68422,1.04614,0.74905,0.40818,0.4995,0.38965,0.93154,1.6966,1.35838,0.00018565,0.00018565,0.00018565
28,315.646,0.58821,0.63796,1.0361,0.71251,0.461,0.50927,0.41753,0.91705,1.673,1.3248,0.000183175,0.000183175,0.000183175
29,326.251,0.59054,0.63859,1.04155,0.70394,0.44957,0.51454,0.42135,0.96179,1.68811,1.37678,0.0001807,0.0001807,0.0001807
30,337.048,0.57377,0.61733,1.04601,0.74587,0.42076,0.50849,0.42341,0.91181,1.62307,1.3143,0.000178225,0.000178225,0.000178225
31,347.715,0.5633,0.60274,1.02549,0.70394,0.45203,0.50701,0.42063,0.90506,1.61274,1.31188,0.00017575,0.00017575,0.00017575
32,358.362,0.57501,0.59169,1.03679,0.66693,0.43872,0.50014,0.40446,0.89148,1.63303,1.29125,0.000173275,0.000173275,0.000173275
