image_name,cucumber,chicken,shrimp,brocolli,bean,salmon,pork,rice,pumpkin,egg_dish,nut,carrot,king_oyster,vegetable,winter_melon,mango,avocado,baby_corn,beef,sprout,eggplant,mushroom,potato,brocoli,corn,toast,onion,cabbage,egg,green_pepper,green_bean,tofu,fish,tomato,lemon,yam,high,calories,protein,fat,carbs,GMM
地瓜減脂36,0.20038012231470226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2941737572878582,0.0,0.0,0.0,0.0,0.09044675076298017,0.0,0.0,0.0,0.0,0.15025535751241106,0.0,0.2647440121220483,0.0,166.0,1.20527342402668,0.5308010399842051,8.530757651805105,1.5446927557903027
日式壽喜牛便當,0.0,0.0,0.0,0.0,0.0,0.0,0.4541886517721433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007681144385371761,0.0,0.16294556373537633,0.0,0.0,0.0,0.09517663258855563,0.08807755165466952,0.0,0.07416002004681267,0.0,0.0,0.0,0.0,0.11777043581707079,0.4541886517721433,686.8,12.354930353572067,6.837459937248891,4.334517484936512,5.373216644487455
日式蔥鹽雞,0.0,0.4450968210006663,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.034602673831669435,0.0,0.17786386629093454,0.0,0.0,0.0,0.16616842463400042,0.10371166780637013,0.0,0.024404177164377545,0.0,0.0,0.0,0.0,0.04815236927198166,0.4450968210006663,510.7,14.861135339614812,2.157600611607224,2.6353577693818497,4.03851779906006
水煮嫩雞胸,0.0,0.438896532565179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019892442592600267,0.0,0.17007939736561287,0.0,0.0,0.0,0.09706860859557924,0.08888595585136626,0.0,0.06367069171153769,0.0,0.0,0.0,0.0,0.12150637131812472,0.438896532565179,545.6,14.634575703981064,2.0650166656029336,4.422266141305712,4.4557826418090745
泡菜豬里肌,0.0,0.0,0.0,0.0,0.0,0.0,0.49934857937395793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01791217994827826,0.0,0.15136643334574587,0.0,0.0,0.0,0.09413049729813912,0.07162302082618581,0.0,0.07036381963231446,0.0,0.0,0.0,0.0,0.09525546957537853,0.0,468.9,13.373169639266175,7.387380229964638,3.7250238325794527,5.377781535874355
泰式打拋雞,0.0,0.3620180117075596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06483163023716539,0.0,0.14774522798441878,0.0,0.0,0.0,0.14831957320193653,0.0879853346034219,0.0,0.03739439621227789,0.0,0.0,0.0,0.0,0.15170582605321997,0.3620180117075596,505.0,12.440128237933278,1.8001224234034447,5.530189323204832,4.386446658597207
清滷牛腱,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49713620318643054,0.0,0.0,0.00480354981383797,0.0,0.12313667823571581,0.0,0.0,0.0,0.09037245765178166,0.07279383394744134,0.0,0.061457645875928266,0.0,0.0,0.0,0.0,0.15029963128886445,0.49713620318643054,526.5,13.842563869605826,7.858812020547066,5.075344319934988,5.747048425068979
照燒雞腿排,0.0,0.3930871296589243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04102046808100272,0.0,0.15760712551197684,0.0,0.0,0.0,0.1737445012568507,0.09172474213767101,0.0,0.031102106251255292,0.0,0.0,0.0,0.0,0.11171392710231909,0.3930871296589243,632.3,13.314753831285582,1.9208097819709513,4.46082560041775,4.311760925307724
穀飼牛漢堡排,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3405680806004663,0.0,0.0,0.022897988225964734,0.0,0.19160589284660162,0.0,0.0,0.0,0.11022180124926392,0.10185743174291224,0.0,0.08857955214349661,0.0,0.0,0.0,0.0,0.1442692531912945,0.3405680806004663,591.0,10.071459976445468,5.6678427800621,5.307319560364764,5.200743948630724
菜飯餐盒,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07554872099865327,0.0,0.23528055490247585,0.0,0.0,0.0,0.23825562418916585,0.11993846672651862,0.0,0.2187724812814272,0.0,0.0,0.0,0.0,0.11220415190175922,0.0,350.0,1.8618604652164803,0.7011574237975671,6.316960054645175,1.9204160684444556
蒜泥豬里肌,0.0,0.0,0.0,0.0,0.0,0.0,0.408142352279584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021456865949689544,0.0,0.17177418481823864,0.0,0.0,0.0,0.10375669468693548,0.0938667597164254,0.0,0.08395468853452513,0.0,0.0,0.0,0.0,0.11704845401460176,0.0,470.1,11.30949572432119,6.228635242858269,4.491927426948763,5.2403217411185485
