epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,474.971,0.50338,0.49166,0.98527,0.7463,0.4697,0.56925,0.45985,0.86782,1.71005,1.3507,0.000148525,0.000148525,0.000148525
43,486.093,0.52004,0.48916,1.00119,0.66564,0.51061,0.5594,0.44153,0.91146,1.63783,1.37219,0.00014605,0.00014605,0.00014605
44,497.221,0.51611,0.49907,0.99835,0.69869,0.51714,0.58335,0.44857,0.92391,1.5709,1.3942,0.000143575,0.000143575,0.000143575
45,508.365,0.51197,0.47625,0.98644,0.71831,0.50722,0.60225,0.48355,0.87552,1.53744,1.36891,0.0001411,0.0001411,0.0001411
46,519.51,0.50501,0.45876,0.99171,0.72915,0.5152,0.55889,0.44873,0.86348,1.62579,1.35107,0.000138625,0.000138625,0.000138625
47,530.703,0.49706,0.45152,0.96807,0.73647,0.48662,0.5486,0.44564,0.87197,1.69507,1.35706,0.00013615,0.00013615,0.00013615
48,542.131,0.48835,0.44551,0.97403,0.70842,0.53107,0.56875,0.46897,0.88264,1.65134,1.36213,0.000133675,0.000133675,0.000133675
49,553.672,0.47112,0.4325,0.96864,0.70309,0.52593,0.57012,0.46423,0.88524,1.64323,1.3718,0.0001312,0.0001312,0.0001312
50,565.067,0.48789,0.44594,0.97342,0.71507,0.52803,0.58297,0.46959,0.85005,1.61798,1.34132,0.000128725,0.000128725,0.000128725
51,576.033,0.46662,0.42532,0.96977,0.73463,0.51478,0.56158,0.4613,0.82403,1.62288,1.30818,0.00012625,0.00012625,0.00012625
52,587.127,0.47449,0.42484,0.9704,0.69201,0.50792,0.55345,0.45281,0.8339,1.67054,1.31684,0.000123775,0.000123775,0.000123775
53,598.338,0.47554,0.42498,0.97016,0.62698,0.57198,0.56691,0.45741,0.8509,1.57275,1.33265,0.0001213,0.0001213,0.0001213
54,609.354,0.45053,0.39355,0.96264,0.6136,0.54555,0.59613,0.48417,0.84928,1.5838,1.343,0.000118825,0.000118825,0.000118825
55,620.38,0.45662,0.40675,0.95818,0.67409,0.56307,0.60348,0.49135,0.85619,1.63886,1.36974,0.00011635,0.00011635,0.00011635
56,631.615,0.4686,0.40613,0.97191,0.64762,0.4975,0.5827,0.49085,0.87036,1.70818,1.37802,0.000113875,0.000113875,0.000113875
57,642.458,0.45182,0.40125,0.96529,0.73608,0.45342,0.59211,0.49251,0.8956,1.66411,1.40791,0.0001114,0.0001114,0.0001114
58,653.479,0.43796,0.39033,0.94551,0.64387,0.53139,0.60435,0.49377,0.87876,1.59859,1.37981,0.000108925,0.000108925,0.000108925
59,664.617,0.44632,0.38436,0.95286,0.64284,0.51711,0.58159,0.47549,0.86107,1.62437,1.356,0.00010645,0.00010645,0.00010645
60,675.672,0.43031,0.37587,0.94203,0.72299,0.52026,0.59916,0.4882,0.84982,1.60571,1.36288,0.000103975,0.000103975,0.000103975
61,686.729,0.42995,0.37094,0.94344,0.73722,0.51606,0.59968,0.48428,0.85087,1.62124,1.35279,0.0001015,0.0001015,0.0001015
62,699.073,0.43066,0.38152,0.94926,0.69799,0.54708,0.61049,0.49706,0.86051,1.60343,1.35599,9.9025e-05,9.9025e-05,9.9025e-05
63,710.24,0.43572,0.36722,0.95787,0.70936,0.5202,0.6143,0.49803,0.86742,1.62828,1.35733,9.655e-05,9.655e-05,9.655e-05
64,721.399,0.41611,0.36151,0.93662,0.69489,0.52346,0.59204,0.48383,0.84957,1.62276,1.341,9.4075e-05,9.4075e-05,9.4075e-05
65,732.468,0.42824,0.3688,0.94284,0.63618,0.56922,0.59631,0.48515,0.86172,1.61906,1.3589,9.16e-05,9.16e-05,9.16e-05
66,743.47,0.42218,0.35482,0.9483,0.54451,0.57869,0.59246,0.48641,0.8664,1.63651,1.35783,8.9125e-05,8.9125e-05,8.9125e-05
67,754.53,0.43032,0.35536,0.94559,0.71938,0.52482,0.5943,0.48771,0.84989,1.62034,1.34341,8.665e-05,8.665e-05,8.665e-05
68,765.69,0.42789,0.35792,0.94885,0.73802,0.50336,0.58937,0.48152,0.8374,1.66491,1.33818,8.4175e-05,8.4175e-05,8.4175e-05
69,776.565,0.42106,0.36033,0.93849,0.7153,0.5121,0.57745,0.47491,0.86593,1.67561,1.36936,8.17e-05,8.17e-05,8.17e-05
70,787.584,0.41387,0.35789,0.94381,0.7588,0.48088,0.56322,0.46507,0.85754,1.65304,1.37004,7.9225e-05,7.9225e-05,7.9225e-05
71,798.651,0.4081,0.34368,0.91813,0.722,0.48332,0.5844,0.48193,0.83811,1.69372,1.34414,7.675e-05,7.675e-05,7.675e-05
72,811.391,0.39483,0.33268,0.93079,0.6124,0.56069,0.59076,0.48997,0.84894,1.59204,1.34854,7.4275e-05,7.4275e-05,7.4275e-05
73,823.43,0.4143,0.35056,0.9383,0.65372,0.57364,0.5965,0.49823,0.84038,1.57531,1.35485,7.18e-05,7.18e-05,7.18e-05
74,834.492,0.39022,0.3254,0.93297,0.60712,0.58562,0.59621,0.49578,0.85042,1.58865,1.37057,6.9325e-05,6.9325e-05,6.9325e-05
75,845.71,0.418,0.3482,0.94614,0.66386,0.54691,0.61085,0.50894,0.85103,1.56218,1.37195,6.685e-05,6.685e-05,6.685e-05
76,856.863,0.39827,0.33566,0.93587,0.62342,0.5949,0.63269,0.52932,0.84591,1.57872,1.34918,6.4375e-05,6.4375e-05,6.4375e-05
77,868.796,0.39144,0.33744,0.9303,0.64577,0.58452,0.63299,0.52731,0.83131,1.58369,1.33078,6.19e-05,6.19e-05,6.19e-05
78,880.837,0.38871,0.3314,0.92943,0.59257,0.63117,0.63148,0.52741,0.83994,1.57133,1.34225,5.9425e-05,5.9425e-05,5.9425e-05
79,892.138,0.38441,0.31383,0.9281,0.6249,0.57845,0.63043,0.52924,0.83923,1.57331,1.34441,5.695e-05,5.695e-05,5.695e-05
80,903.175,0.37002,0.30863,0.92159,0.71088,0.5325,0.61083,0.50612,0.85986,1.57552,1.37009,5.4475e-05,5.4475e-05,5.4475e-05
81,914.473,0.39063,0.32426,0.93281,0.73709,0.52047,0.60366,0.50193,0.84924,1.60587,1.36985,5.2e-05,5.2e-05,5.2e-05
82,925.485,0.38321,0.32095,0.93038,0.59936,0.59464,0.61054,0.49704,0.85122,1.60454,1.36583,4.9525e-05,4.9525e-05,4.9525e-05
83,936.647,0.36806,0.30491,0.90888,0.58338,0.61873,0.60722,0.49782,0.84219,1.61227,1.35313,4.705e-05,4.705e-05,4.705e-05
84,951.091,0.38195,0.30933,0.92501,0.81628,0.48794,0.61237,0.50135,0.85242,1.61712,1.36555,4.4575e-05,4.4575e-05,4.4575e-05
85,963.188,0.36985,0.30231,0.91602,0.78766,0.50548,0.61292,0.50326,0.84164,1.62656,1.35134,4.21e-05,4.21e-05,4.21e-05
86,974.729,0.37036,0.29698,0.91691,0.80126,0.49143,0.61217,0.51137,0.84613,1.6444,1.35972,3.9625e-05,3.9625e-05,3.9625e-05
87,985.831,0.35959,0.30178,0.90915,0.76749,0.51128,0.60768,0.507,0.85121,1.60975,1.37103,3.715e-05,3.715e-05,3.715e-05
88,996.971,0.37185,0.30196,0.91886,0.73231,0.51678,0.60337,0.5034,0.84023,1.62303,1.36704,3.4675e-05,3.4675e-05,3.4675e-05
89,1008.07,0.36571,0.29368,0.9101,0.73743,0.52155,0.60892,0.50494,0.83759,1.63507,1.3718,3.22e-05,3.22e-05,3.22e-05
90,1019.13,0.36758,0.29847,0.92157,0.69967,0.53814,0.6059,0.50225,0.8439,1.65452,1.36943,2.9725e-05,2.9725e-05,2.9725e-05
91,1048,0.27354,0.22728,0.83267,0.72302,0.514,0.58765,0.48595,0.84655,1.67823,1.36969,2.725e-05,2.725e-05,2.725e-05
