epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.19332,1.36091,4.77235,1.59523,0.01419,0.15273,0.01712,0.01292,1.22528,4.36852,1.58988,2.5e-05,2.5e-05,2.5e-05
2,12.4347,1.17929,3.70254,1.45315,0.29689,0.11457,0.0397,0.03136,1.203,4.58726,1.55752,5.19803e-05,5.19803e-05,5.19803e-05
3,18.86,1.12965,2.90597,1.41191,0.4084,0.15277,0.07719,0.05648,1.20723,3.59044,1.56221,7.8416e-05,7.8416e-05,7.8416e-05
4,24.6257,1.02029,2.43183,1.35084,0.34432,0.23437,0.11791,0.09491,1.14149,3.10321,1.48288,0.000104307,0.000104307,0.000104307
5,30.823,1.01231,2.16627,1.34196,0.60908,0.15717,0.15601,0.11909,1.14822,2.98661,1.47811,0.000129654,0.000129654,0.000129654
6,37.5988,0.96992,1.91639,1.29283,0.33313,0.26362,0.18559,0.14105,1.15502,2.83884,1.48864,0.000154456,0.000154456,0.000154456
7,43.2233,0.90291,1.71926,1.24568,0.55965,0.18467,0.24274,0.18735,1.14781,2.41267,1.457,0.000178714,0.000178714,0.000178714
8,49.4384,0.85501,1.52804,1.19341,0.38054,0.26512,0.24355,0.18708,1.22687,2.51925,1.56045,0.000202427,0.000202427,0.000202427
9,55.1483,0.90121,1.51562,1.2176,0.42948,0.21481,0.24173,0.18855,1.22055,2.5617,1.5485,0.000225596,0.000225596,0.000225596
10,60.8853,0.82268,1.30401,1.16655,0.39014,0.23396,0.24587,0.18413,1.26495,2.53366,1.59054,0.000227725,0.000227725,0.000227725
11,66.6432,0.82824,1.30886,1.18866,0.4033,0.26705,0.29653,0.21294,1.20225,2.32859,1.56077,0.00022525,0.00022525,0.00022525
12,72.5734,0.81972,1.22707,1.17051,0.4329,0.30863,0.28321,0.21278,1.20316,2.30591,1.5073,0.000222775,0.000222775,0.000222775
13,78.1985,0.8055,1.17114,1.15269,0.46349,0.35581,0.31423,0.23815,1.16023,2.22986,1.48473,0.0002203,0.0002203,0.0002203
14,83.9619,0.79216,1.11295,1.16225,0.4328,0.35002,0.33004,0.23601,1.16458,2.2994,1.52207,0.000217825,0.000217825,0.000217825
15,89.8464,0.77703,1.03534,1.13769,0.5126,0.29341,0.32504,0.24446,1.18192,2.26864,1.52742,0.00021535,0.00021535,0.00021535
16,95.6756,0.75726,0.96658,1.13216,0.52857,0.30165,0.32064,0.24662,1.21402,2.31079,1.51879,0.000212875,0.000212875,0.000212875
17,101.342,0.75498,0.97642,1.1438,0.4681,0.38397,0.33329,0.24864,1.19317,2.2324,1.52314,0.0002104,0.0002104,0.0002104
18,107.183,0.73815,0.93498,1.11533,0.61152,0.30941,0.35524,0.26517,1.15297,2.13949,1.51053,0.000207925,0.000207925,0.000207925
19,112.945,0.70604,0.8602,1.0952,0.58648,0.31441,0.35934,0.2694,1.16962,2.09198,1.52816,0.00020545,0.00020545,0.00020545
20,118.835,0.68461,0.82806,1.07599,0.58418,0.30459,0.35196,0.2643,1.17248,2.15934,1.52419,0.000202975,0.000202975,0.000202975
21,124.138,0.70606,0.83443,1.0821,0.57096,0.32091,0.36829,0.27422,1.17642,2.10471,1.53202,0.0002005,0.0002005,0.0002005
22,129.613,0.70737,0.85431,1.10107,0.55695,0.31756,0.35026,0.25915,1.16435,2.0725,1.53582,0.000198025,0.000198025,0.000198025
23,137.318,0.66454,0.76278,1.0567,0.63568,0.34475,0.36581,0.28001,1.17818,1.95244,1.56906,0.00019555,0.00019555,0.00019555
24,143.021,0.6662,0.76574,1.06656,0.62948,0.32595,0.36306,0.27287,1.20176,2.10045,1.57297,0.000193075,0.000193075,0.000193075
25,148.215,0.66701,0.75007,1.05713,0.49114,0.35284,0.34338,0.25934,1.20434,2.11321,1.57766,0.0001906,0.0001906,0.0001906
26,153.507,0.67341,0.76143,1.06249,0.50369,0.31461,0.35761,0.26618,1.20002,2.11208,1.55861,0.000188125,0.000188125,0.000188125
27,158.741,0.64601,0.72763,1.06341,0.57666,0.3046,0.34488,0.26239,1.21438,2.13774,1.59062,0.00018565,0.00018565,0.00018565
